X,Y,OBJECTID,Join_Count,TARGET_FID,Join_Count_1,Incident_No,Time_Begun,UCR_No,HPD_Beat,HPD_District,Offense,Address_Range,Premise_Type,X_Coord,Y_Coord,Zip_Code,Time_Frame,SNB_No,SNB_Name,Council_District,HPD_Division
-95.383493196691219,29.742440335471287,1,1,1,1,111321518,2018-08-31T22:30:00.000Z,7031,1A20,1,Auto Theft,300-399 HAWTHORNE,"Multi-Plex Home (Duplex,T",3115960.81779,13835236.8273,77006,3,24,NEARTOWN - MONTROSE,C,Central Division
-95.293407594318325,29.706214669073532,2,1,2,1,105940318,2018-08-19T22:30:00.000Z,7001,11H20,11,Auto Theft,7000-7099 KELLER,Residence or House,3144951.4707,13822965.51529,77087,3,70,PECAN PARK,I,Eastside Division
-95.587439882456579,29.675232227686795,3,1,3,1,106316318,2018-08-20T23:39:00.000Z,4043,19G40,19,Aggravated Assault,11900-11999 BISSONNET,"Road, Street, or Sidewalk",3051983.80604,13808863.72057,77099,3,25,ALIEF,F,Westside Division
-95.392257532496757,29.845537479567355,4,1,4,1,115383318,2018-09-10T19:30:00.000Z,6071,6B10,6,Theft,500-599 E TIDWELL,Clothing Store,3112024.59617,13872623.23572,77076,2,45,NORTHSIDE/NORTHLINE,H,North Division
-95.588626869702665,29.736036508221812,5,1,5,1,114099318,2018-09-07T20:24:00.000Z,6071,20G30,20,Theft,2700-2799 S KIRKWOOD,Department or Discount St,3050962.19819,13830953.57798,77082,2,19,WESTCHASE,F,Westside Division
-95.267824107177702,29.801284388417631,6,1,6,1,111959418,2018-09-02T20:00:00.000Z,6141,9C30,9,Theft,4400-4499 N MCCARTY,"Road, Street, or Sidewalk",3151965.71795,13857776.80528,77013,3,53,EL DORADO / OATES PRAIRIE,I,Northeast Division
-95.260525808619263,29.792265107297204,7,1,7,1,109727018,2018-08-28T14:09:00.000Z,6161,9C30,9,Theft,9600-9699 WALLISVILLE,Vacant Industrial or Manu,3154384.05285,13854572.64392,77013,3,58,NORTHSHORE,I,Northeast Division
-95.424727775928474,29.677927207393509,8,1,8,1,116449718,2018-09-12T20:00:00.000Z,6131,15E40,15,Theft,9900-9999 BUFFALO SPEEDWAY,Apartment Parking Lot,3103598.9058,13811386.58913,77054,2,35,SOUTH MAIN,K,Southwest Division
-95.379715844016403,29.743122342111082,9,1,9,1,107381818,2018-08-23T11:45:00.000Z,5023,1A20,1,Burglary,3200-3299 LOUISIANA,Apartment,3117151.25135,13835521.78983,77006,3,62,MIDTOWN,C,Central Division
-95.545738323988203,29.6905696342148,10,1,10,1,114428518,2018-09-07T22:00:00.000Z,7001,18F60,18,Auto Theft,9200-9299 BEECHNUT,Apartment Parking Lot,3065055.4422,13814827.09567,77036,2,26,SHARPSTOWN,J,Midwest Division
-95.640564985006378,29.735637871659833,11,1,11,1,105383218,2018-08-18T07:30:00.000Z,6033,20G80,20,Theft,14300-14399 WESTHEIMER,Restaurant or Cafeteria,3034490.49383,13830331.61679,77077,3,17,ELDRIDGE / WEST OAKS,F,Westside Division
-95.309268664953763,29.851072590863502,12,1,12,1,109707018,2018-08-28T15:47:00.000Z,6141,8C10,8,Theft,9700-9799 SHADY,Residence or House,3138256.87993,13875455.82528,77016,3,47,EAST LITTLE YORK / HOMESTEAD,B,Northeast Division
-95.468184555173252,29.725352657746182,13,1,13,1,113662318,2018-09-06T20:00:00.000Z,6141,17E10,17,Theft,5300-5399 S RICE,Other Parking Lot,3089285.5237,13828204.80386,77081,3,27,GULFTON,J,South Gessner Division
-95.565360565827888,29.653671759737492,14,1,14,1,110265718,2018-08-30T01:00:00.000Z,4042,17E30,17,Aggravated Assault,11500-11599 SOUTHWEST ,"Road, Street, or Sidewalk",3059222.14976,13801232.36609,77031,3,36,BRAYS OAKS,K,South Gessner Division
-95.617033981531193,29.661841848613854,15,1,15,1,109666118,2018-08-28T08:00:00.000Z,6141,19G40,19,Theft,13300-13399 W BELLFORT,Other Parking Lot,3042731.19425,13803723.67802,77099,3,25,ALIEF,F,Westside Division
-95.380826554943667,29.828978489304145,16,1,16,1,114394518,2018-09-08T14:08:00.000Z,6073,3B50,3,Theft,4400-4499 NORTH ,Department or Discount St,3115832.95607,13866716.49565,77022,2,45,NORTHSIDE/NORTHLINE,H,North Division
-95.395145562189271,29.78176366904157,17,1,17,1,105616118,2018-08-18T14:00:00.000Z,6143,2A30,2,Theft,600-699 CORTLANDT,"Road, Street, or Sidewalk",3111824.1974,13849415.25399,77007,3,15,GREATER HEIGHTS,C,Central Division
-95.397671993167563,29.937528485221272,18,1,18,1,105611318,2018-08-19T09:30:00.000Z,6191,22B30,22,Theft,16300-16399 IMPERIAL VALLEY,Apartment,3109278.71116,13906006.97079,77060,3,2,GREATER GREENSPOINT,B,North Belt Division
-95.527917150462002,29.679981793265469,19,1,19,1,103317018,2018-08-14T04:00:00.000Z,6143,17E20,17,Theft,8300-8399 NAIRN,Residence or House,3070825.38784,13811146.28209,77074,3,30,BRAEBURN,J,South Gessner Division
-95.38233606809581,29.749322093835399,20,1,20,1,105606518,2018-08-18T23:30:00.000Z,6141,1A20,1,Theft,100-199 DENNIS,"Road, Street, or Sidewalk",3116250.44248,13837749.42566,77006,3,62,MIDTOWN,C,Central Division
-95.473923326852187,29.634883535534467,21,1,21,1,112685018,2018-09-04T00:01:00.000Z,6193,16E30,16,Theft,6000-6099 GREEN HEATHER,"Other, Unknown, or Not Li",3088456.63749,13795267.73594,77085,3,40,CENTRAL SOUTHWEST,K,Southwest Division
-95.320518011631208,29.800367314675434,22,1,22,1,105347018,2018-08-18T17:57:00.000Z,6033,7C20,7,Theft,5000-5099 CAVALCADE,Residence or House,3135272.66212,13856914.02285,77026,3,52,KASHMERE GARDENS,B,Northeast Division
-95.56436117483787,29.674383676690642,23,1,23,1,105244018,2018-08-18T11:00:00.000Z,6031,19G50,19,Theft,10400-10499 BISSONNET,"Hotel, Motel, Inn, Etc.",3059318.21357,13808769.83127,77099,3,25,ALIEF,J,Westside Division
-95.35882081133407,29.777873704415921,24,1,24,1,109673618,2018-08-28T17:00:00.000Z,6133,2A10,2,Theft,1900-1999 GENTRY,Residence or House,3123385.34571,13848358.3054,77009,3,51,NEAR NORTHSIDE,H,Central Division
-95.364583106724368,29.689808853229462,25,1,25,1,105857518,2018-08-19T23:16:00.000Z,6193,14D10,14,Theft,3800-3899 SOUTHLAWN,Apartment,3122553.5738,13816293.65679,77021,3,68,GREATER OST / SOUTH UNION,D,Southeast Division
-95.385729191427231,29.737113288621913,26,1,26,1,114391418,2018-09-07T17:00:00.000Z,6143,1A20,1,Theft,500-599 BRANARD,Apartment Parking Lot,3115311.45403,13833278.72935,77006,2,24,NEARTOWN - MONTROSE,C,Central Division
-95.604711015818424,29.71667466911132,27,1,27,1,110926018,2018-08-30T16:00:00.000Z,6141,20G70,20,Theft,3800-3899 S DAIRY ASHFORD,Commercial Parking Lot or,3046064.36136,13823767.4428,77082,3,17,ELDRIDGE / WEST OAKS,F,Westside Division
-95.544976785775376,29.768570312178699,28,1,28,1,114388518,2018-09-08T02:15:00.000Z,6144,20G50,20,Theft,12300-12399 MOSSYCUP,Residence or House,3064459.31298,13843185.42578,77024,2,16,MEMORIAL,G,Westside Division
